image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
14Oct_D1a,58,11,6,D,1,before,10/14/22,0,10/14/22
14Oct_D1a,63,17,10,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,55,19,10,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,56,15,5,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,55,12,5,D,1,before,10/14/22,0,10/14/22
14Oct_D1c,56,17,8,D,1,before,10/14/22,0,10/14/22
14Oct_D1c,50,13,6,D,1,before,10/14/22,0,10/14/22
14Oct_D1d,49,7,-2,D,1,before,10/14/22,0,10/14/22
14Oct_D1d,46,7,-3,D,1,before,10/14/22,0,10/14/22
14Oct_D1e,54,10,2,D,1,before,10/14/22,0,10/14/22
14Oct_D1f,50,12,3,D,1,before,10/14/22,0,10/14/22
14Oct_D1f,58,20,12,D,1,before,10/14/22,0,10/14/22
14Oct_D1g,52,11,7,D,1,before,10/14/22,0,10/14/22
14Oct_D1g,56,12,4,D,1,before,10/14/22,0,10/14/22
14Oct_D1g,50,11,-1,D,1,before,10/14/22,0,10/14/22
14Oct_D1h,57,20,9,D,1,before,10/14/22,0,10/14/22
14Oct_D1h,49,10,2,D,1,before,10/14/22,0,10/14/22
14Oct_D1i,53,8,2,D,1,before,10/14/22,0,10/14/22
14Oct_D1i,51,12,6,D,1,before,10/14/22,0,10/14/22
14Oct_D1i,46,12,0,D,1,before,10/14/22,0,10/14/22
14Oct_NL1a,55,12,6,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1a,57,14,5,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1a,52,9,2,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1b,50,15,5,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1b,52,13,3,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1c,60,10,6,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1c,56,7,1,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1c,54,15,6,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1d,59,10,7,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1d,57,7,2,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1e,56,15,10,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1e,56,15,7,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1e,58,16,9,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1f,52,8,3,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1f,53,18,9,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1g,55,10,2,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1g,60,7,4,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1h,55,15,8,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1h,51,15,3,NL,1,before,10/14/22,0,10/14/22
14Oct_NL1h,49,10,2,NL,1,before,10/14/22,0,10/14/22
after_14Oct_D2a,55,5,1,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2a,56,3,-1,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2a,60,6,4,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2b,62,8,9,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2b,72,4,5,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2c,66,2,-1,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2c,69,6,8,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2c,69,5,7,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2d,68,2,1,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2d,67,4,6,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2e,65,7,6,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2e,59,7,2,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2e,59,6,1,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2f,59,5,2,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2f,65,6,4,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2g,60,7,5,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2g,59,7,4,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2g,63,8,5,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2h,58,6,2,D,2,after,10/14/22,7,10/20/22
after_14Oct_D2h,62,7,4,D,2,after,10/14/22,7,10/20/22
after_14Oct_D3a,61,4,1,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3a,64,6,4,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3a,63,5,3,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3b,62,4,2,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3b,65,6,3,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3c,60,7,3,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3c,63,6,4,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3c,63,9,6,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3d,61,6,3,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3d,60,9,6,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3e,64,5,3,D,3,after,10/14/22,7,10/20/22
after_14Oct_D3e,61,8,5,D,3,after,10/14/22,7,10/20/22
